Grammar14	0.337	0.876	0.933	0.123	0.666
Grammar13	0.345	0.882	0.928	0.118	0.736
Grammar12	0.303	0.917	0.965	0.083	0.726
Grammar19	0.346	0.875	0.929	0.125	0.677
Grammar18	0.303	0.888	0.949	0.112	0.722
Grammar17	0.3	0.904	0.943	0.096	0.769
Grammar16	0.385	0.839	0.912	0.162	0.603
Grammar11	0.281	0.909	0.943	0.091	0.784
Grammar10	0.355	0.858	0.919	0.142	0.655
Grammar9	0.282	0.921	0.955	0.079	0.776
Grammar7	0.29	0.922	0.957	0.078	0.792
Grammar24	0.316	0.891	0.937	0.109	0.722
Grammar8	0.33	0.903	0.95	0.097	0.709
Grammar23	0.344	0.869	0.919	0.131	0.674
Grammar22	0.352	0.862	0.912	0.138	0.696
Grammar21	0.275	0.916	0.955	0.084	0.797
Grammar20	0.295	0.9	0.936	0.1	0.735
Grammar1	0.402	0.841	0.909	0.159	0.636
Grammar2	0.278	0.912	0.959	0.088	0.721
Grammar0	0.337	0.868	0.924	0.132	0.656
Grammar5	0.468	0.779	0.902	0.221	0.498
Grammar6	0.3	0.901	0.953	0.099	0.726
Grammar3	0.332	0.851	0.944	0.149	0.695
Grammar4	0.349	0.856	0.905	0.144	0.652
Grammar15	0.284	0.904	0.955	0.096	0.721
