name	uuid	numData	evaluationNoise	initPlasticity	plasticityDecay	numEpochs	updateAlgorithm	atDatum	errorRate	timeTaken
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	40000	0.5216	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	80000	0.5308	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	2500	0.5452	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	42500	0.5204	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	82500	0.5332	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	5000	0.5388	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	45000	0.5304	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	85000	0.532	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	7500	0.5248	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	47500	0.5352	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	87500	0.548	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	10000	0.5372	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	50000	0.5136	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	90000	0.5316	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	12500	0.5108	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	52500	0.5424	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	92500	0.5364	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	15000	0.5384	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	55000	0.5352	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	95000	0.518	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	17500	0.5176	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	57500	0.5248	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	97500	0.5232	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	20000	0.5168	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	60000	0.5192	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	100000	0.5252	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	22500	0.536	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	62500	0.512	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	25000	0.5392	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	65000	0.5056	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	27500	0.5312	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	67500	0.5316	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	30000	0.5428	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	70000	0.5364	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	32500	0.5436	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	72500	0.5264	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	35000	0.538	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	75000	0.5324	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	37500	0.518	
PFC_version04.txt	0c02e068-43c6-404f-9338-0ccb55783931	100000	1.0	1.0	0.5	4	AllUpHighDown	77500	0.5508	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	40000	0.514	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	80000	0.508	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	2500	0.5748	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	42500	0.5196	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	82500	0.5104	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	5000	0.5408	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	45000	0.5312	
PFC_version04.txt	fff694a4-43e7-4240-9fbd-03b48e78a936	100000	1.0	1.0	0.5	4	AllUpHighDown	85000	0.5252	
